gene,CPTAC_Mutations,CPTAC_Silenced,CPTAC_Expressed,CPTAC_Percent,AURORA_Mutations,AURORA_Silenced,AURORA_Expressed,AURORA_Percent
PLEKHG4B,4,0,4,0.0,235,41,194,17.4468085106383
SYNE1,8,0,8,0.0,105,10,95,9.523809523809524
MACF1,16,0,16,0.0,83,9,74,10.843373493975903
HMCN1,13,5,8,38.46153846153847,77,6,71,7.792207792207792
SYNE2,3,0,3,0.0,81,7,74,8.641975308641975
DST,5,0,5,0.0,72,7,65,9.722222222222223
VPS13B,5,1,4,20.0,60,4,56,6.666666666666667
UBR4,7,0,7,0.0,52,3,49,5.769230769230769
PIK3CA,40,0,40,0.0,17,1,16,5.88235294117647
MYCBP2,3,0,3,0.0,54,3,51,5.555555555555555
VPS13C,6,0,6,0.0,50,2,48,4.0
UTRN,4,0,4,0.0,52,5,47,9.615384615384617
HERC1,11,0,11,0.0,43,3,40,6.976744186046512
TRRAP,5,0,5,0.0,48,5,43,10.416666666666668
VPS13D,3,0,3,0.0,47,1,46,2.127659574468085
WDFY3,5,0,5,0.0,45,4,41,8.88888888888889
HUWE1,4,0,4,0.0,45,5,40,11.11111111111111
NBPF1,4,0,4,0.0,44,4,40,9.090909090909092
PLEC,5,0,5,0.0,43,3,40,6.976744186046512
AKAP9,4,0,4,0.0,43,6,37,13.953488372093023
VPS13A,3,0,3,0.0,43,4,39,9.30232558139535
LAMA2,4,0,4,0.0,42,3,39,7.142857142857142
CLTC,4,0,4,0.0,42,4,38,9.523809523809524
LYST,3,0,3,0.0,42,4,38,9.523809523809524
MDN1,4,0,4,0.0,41,1,40,2.4390243902439024
DYNC1H1,4,0,4,0.0,39,2,37,5.128205128205128
ASPM,6,1,5,16.666666666666664,36,3,33,8.333333333333332
USP34,3,0,3,0.0,39,1,38,2.564102564102564
ITPR2,4,1,3,25.0,37,4,33,10.81081081081081
BIRC6,6,0,6,0.0,34,1,33,2.941176470588235
CIT,3,1,2,33.33333333333333,36,5,31,13.88888888888889
DMXL2,5,1,4,20.0,34,3,31,8.823529411764707
AHCTF1,4,0,4,0.0,34,2,32,5.88235294117647
AHNAK,12,0,12,0.0,26,1,25,3.8461538461538463
SPEN,8,0,8,0.0,30,2,28,6.666666666666667
CEP350,3,0,3,0.0,34,0,34,0.0
AKAP13,4,0,4,0.0,33,0,33,0.0
PRRC2C,8,0,8,0.0,29,3,26,10.344827586206897
NBAS,3,0,3,0.0,34,1,33,2.941176470588235
SRCAP,5,0,5,0.0,31,1,30,3.225806451612903
BOD1L1,7,1,6,14.285714285714285,29,0,29,0.0
COL4A5,5,0,5,0.0,30,3,27,10.0
POLQ,3,1,2,33.33333333333333,32,6,26,18.75
PHIP,3,0,3,0.0,32,4,28,12.5
LRBA,3,0,3,0.0,32,6,26,18.75
FBN1,3,0,3,0.0,32,0,32,0.0
RNF213,8,0,8,0.0,27,1,26,3.7037037037037033
HTT,4,0,4,0.0,30,1,29,3.333333333333333
TRIO,6,0,6,0.0,28,1,27,3.571428571428571
CHD6,4,0,4,0.0,30,4,26,13.333333333333334
TMEM131,3,0,3,0.0,31,3,28,9.67741935483871
DMXL1,5,1,4,20.0,29,0,29,0.0
CNOT1,3,0,3,0.0,30,1,29,3.333333333333333
ASH1L,8,0,8,0.0,25,3,22,12.0
DNAH1,5,2,3,40.0,28,3,25,10.714285714285714
LRP1,3,0,3,0.0,30,4,26,13.333333333333334
ZFYVE26,3,1,2,33.33333333333333,30,1,29,3.333333333333333
LAMA3,5,0,5,0.0,28,1,27,3.571428571428571
AK9,3,1,2,33.33333333333333,30,2,28,6.666666666666667
ASCC3,5,0,5,0.0,28,0,28,0.0
KMT2E,5,0,5,0.0,28,5,23,17.857142857142858
HEATR1,3,0,3,0.0,29,5,24,17.24137931034483
WNK2,5,2,3,40.0,27,2,25,7.4074074074074066
NCOR1,3,0,3,0.0,28,5,23,17.857142857142858
