Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,Total_Expressed
TP53,8,0,2,0,24,14,0,2,0,50
PIK3CA,0,1,5,0,34,0,0,0,0,40
MACF1,2,0,0,0,14,0,0,0,0,16
AHNAK,0,0,0,0,11,1,0,0,0,12
MAP3K1,3,1,1,0,2,2,0,2,0,11
HERC1,0,0,0,0,10,1,0,0,0,11
BLTP1,0,0,0,0,7,1,0,1,0,9
CDH1,2,1,0,0,2,3,0,1,0,9
PTEN,3,0,0,0,4,0,0,2,0,9
NIPBL,2,0,0,1,4,1,0,0,0,8
SPEN,1,0,0,0,4,3,0,0,0,8
HMCN1,0,0,0,0,7,0,0,1,0,8
GATA3,1,4,0,0,3,0,0,0,0,8
NOTCH3,0,0,0,0,6,2,0,0,0,8
KMT2C,1,1,0,0,2,3,0,1,0,8
ASH1L,1,0,0,0,6,0,0,1,0,8
SYNE1,0,0,0,0,8,0,0,0,0,8
RNF213,0,0,0,0,7,1,0,0,0,8
PRKDC,1,0,0,0,7,0,0,0,0,8
PRRC2C,1,0,0,0,6,1,0,0,0,8
UBR4,0,0,0,0,6,1,0,0,0,7
DOCK6,0,0,0,0,7,0,0,0,0,7
PPP1R26,0,0,0,0,7,0,0,0,0,7
MLLT4,2,1,0,0,3,0,0,1,0,7
MAP2K4,2,0,1,0,2,1,0,1,0,7
C6orf132,1,0,1,0,4,0,0,0,0,6
ROCK1,0,0,0,0,4,2,0,0,0,6
SIPA1L3,0,0,0,0,5,0,0,0,1,6
RPGRIP1L,1,0,0,0,5,0,0,0,0,6
BOD1L1,0,0,0,0,6,0,0,0,0,6
TRIO,0,0,0,0,5,1,0,0,0,6
KMT2D,0,0,0,0,6,0,0,0,0,6
TRIOBP,0,0,0,0,5,1,0,0,0,6
CENPF,0,1,0,0,5,0,0,0,0,6
PALM2AKAP2,3,0,0,0,3,0,0,0,0,6
ANKRD11,1,0,0,0,4,1,0,0,0,6
EP400,0,0,0,0,6,0,0,0,0,6
SETD1B,0,0,0,0,5,0,0,1,0,6
DDX42,0,1,0,0,5,0,0,0,0,6
MYO18A,0,0,0,0,6,0,0,0,0,6
VPS13C,1,0,0,0,5,0,0,0,0,6
AHNAK2,0,0,0,0,6,0,0,0,0,6
BIRC6,0,0,0,0,6,0,0,0,0,6
CROCC,0,0,0,0,6,0,0,0,0,6
TNRC18,0,1,0,0,5,0,0,0,0,6
ASTN2,0,0,0,0,5,1,0,0,0,6
DOCK5,0,0,0,0,5,0,0,1,0,6
ZNF638,1,0,0,0,5,0,0,0,0,6
MKI67,0,0,0,0,5,1,0,0,0,6
MYH14,0,0,0,0,5,0,0,0,0,5
MYH9,1,0,0,0,3,1,0,0,0,5
ARID1A,1,1,0,0,2,1,0,0,0,5
AKT1,0,0,0,0,5,0,0,0,0,5
WDFY3,1,0,0,0,4,0,0,0,0,5
ARID2,0,0,0,0,2,2,0,1,0,5
IQGAP3,0,0,0,0,5,0,0,0,0,5
NUMA1,2,0,0,0,1,1,0,1,0,5
MON2,0,0,0,0,4,1,0,0,0,5
RUNX1,1,1,1,0,2,0,0,0,0,5
SRCAP,1,0,0,0,3,1,0,0,0,5
ASCC3,1,0,0,0,2,1,0,1,0,5
ASPM,0,0,0,0,5,0,0,0,0,5
KMT2E,1,0,0,0,4,0,0,0,0,5
FOXA1,1,0,0,0,4,0,0,0,0,5
POLR1A,0,0,0,0,5,0,0,0,0,5
STAB1,0,1,0,0,4,0,0,0,0,5
LAMA3,0,0,1,0,4,0,0,0,0,5
DNAJC13,0,0,0,0,5,0,0,0,0,5
VCAN,0,0,0,0,5,0,0,0,0,5
HECTD1,0,0,0,0,5,0,0,0,0,5
COL18A1,0,0,0,0,5,0,0,0,0,5
KDM5C,0,0,0,0,4,1,0,0,0,5
CELSR2,0,0,1,0,4,0,0,0,0,5
